date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,city,Index Value,Air Quality,Prominent Pollutant
2020-04-22,1.0,40.7,28.1,34.1,41.2,28.9,34.2,2020-04-22 00:42:00,2020-04-22 13:33:00,46231.54,41614.97,0.0,0.0,0.0,0.0,14.4,29.9,281.0,24.41,8.34,Ahmedabad,91,Satisfactory,PM10
2020-08-04,63.0,35.3,27.8,31.2,43.3,33.2,38.4,2020-08-03 23:47:00,2020-08-04 13:03:00,47728.33,42691.27,10.0,10.0,0.0,9.0,19.0,32.4,345.0,21.91,4.94,Patna,64,Satisfactory,"NO2, PM10, PM2.5"
2020-02-16,51.0,26.9,17.2,22.1,27.4,18.5,23.1,2020-02-16 00:28:00,2020-02-16 11:45:00,40677.67,36008.41,0.1,0.1,0.0,1.0,8.2,22.0,198.0,14.58,3.11,Guwahati,369,Very Poor,PM2.5
2023-11-10,1.0,29.8,19.9,24.6,31.9,21.2,26.3,2023-11-10 00:48:00,2023-11-10 12:11:00,40986.93,38347.35,0.0,0.0,0.0,0.0,10.7,25.6,102.0,19.55,4.38,Hyderabad,97,Satisfactory,"PM10, PM2.5"
2019-12-03,3.0,27.3,19.7,23.5,28.1,21.2,24.5,2019-12-03 01:21:00,2019-12-03 12:26:00,39906.36,32757.77,0.0,0.0,0.0,0.0,22.0,48.6,108.0,11.69,3.07,Pune,85,Satisfactory,SO2
2021-08-09,63.0,30.6,25.9,27.7,37.7,32.0,34.3,2021-08-09 00:05:00,2021-08-09 13:18:00,47590.28,18916.43,17.5,17.5,0.0,18.0,8.9,20.9,27.0,12.38,2.66,Lucknow,52,Satisfactory,"CO, PM10, PM2.5"
2022-09-23,51.0,34.3,26.7,29.7,39.1,29.8,33.8,2022-09-23 00:28:00,2022-09-23 12:34:00,43592.2,39600.0,0.4,0.4,0.0,4.0,18.3,35.3,203.0,23.36,5.73,Chennai,66,Satisfactory,"CO, PM10, PM2.5"
2021-10-16,61.0,33.5,23.3,28.8,39.1,27.0,33.9,2021-10-16 00:36:00,2021-10-16 12:07:00,41435.66,37092.05,1.6,1.6,0.0,1.0,14.3,28.1,78.0,16.85,3.86,Lucknow,212,Poor,"PM10, PM2.5"
2018-03-04,1.0,30.9,20.3,25.1,33.6,22.9,27.6,2018-03-04 00:53:00,2018-03-04 12:48:00,42900.79,40147.16,0.0,0.0,0.0,0.0,17.6,38.9,162.0,25.21,5.39,Chennai,123,Moderate,PM2.5
2016-03-02,51.0,32.5,22.7,26.6,34.4,24.9,28.8,2016-03-02 01:03:00,2016-03-02 12:52:00,42577.59,38059.56,0.7,0.7,0.0,3.0,11.0,26.3,99.0,18.66,4.44,Hyderabad,91,Satisfactory,"PM10, PM2.5"
2023-01-24,3.0,29.8,17.0,22.6,32.1,18.5,24.6,2023-01-24 00:48:00,2023-01-24 11:48:00,39660.19,33555.32,0.0,0.0,0.0,0.0,8.7,17.6,142.0,15.28,3.09,Howrah,311,Very Poor,PM2.5
2020-11-11,0.0,27.0,13.7,19.8,26.0,12.2,18.4,2020-11-11 01:09:00,2020-11-11 12:27:00,40715.07,37715.77,0.0,0.0,0.0,0.0,17.3,37.8,97.0,20.53,4.67,Pune,78,Satisfactory,PM2.5
2017-01-02,61.0,21.1,11.6,15.7,21.5,11.1,15.7,2017-01-02 01:25:00,2017-01-02 11:55:00,37792.14,34252.17,3.1,3.1,0.0,5.0,16.1,33.5,36.0,11.96,2.0,Lucknow,325,Very Poor,PM2.5
2016-01-02,0.0,26.1,12.4,18.9,24.2,11.0,17.4,2016-01-02 01:12:00,2016-01-02 12:34:00,40963.96,37677.72,0.0,0.0,0.0,0.0,17.4,37.8,72.0,21.83,4.74,Bengaluru,92,Satisfactory,"NO2, PM2.5"
2017-03-05,1.0,27.3,13.4,20.6,25.4,11.4,18.4,2017-03-05 00:56:00,2017-03-05 12:39:00,42224.27,38768.86,0.0,0.0,0.0,0.0,17.3,36.0,281.0,22.44,5.64,Lucknow,206,Poor,PM2.5
2017-08-24,61.0,32.2,25.4,28.6,40.6,31.9,35.6,2017-08-24 00:12:00,2017-08-24 13:05:00,46351.31,38305.54,9.1,9.1,0.0,13.0,8.3,22.7,46.0,18.52,3.93,Lucknow,89,Satisfactory,"NO2, PM2.5"
2023-03-08,51.0,28.3,14.9,21.2,28.9,14.2,20.7,2023-03-08 01:09:00,2023-03-08 12:55:00,42376.43,32581.38,0.2,0.2,0.0,1.0,14.5,29.2,280.0,17.79,4.14,Delhi,213,Poor,PM2.5
2020-01-15,0.0,25.9,13.1,19.4,26.8,13.0,20.2,2020-01-15 00:49:00,2020-01-15 11:42:00,39216.3,35231.46,0.0,0.0,0.0,0.0,9.4,15.1,49.0,14.73,2.75,Howrah,340,Very Poor,"PM10, PM2.5"
2023-06-07,65.0,35.1,27.5,31.4,40.6,32.1,35.5,2023-06-07 00:11:00,2023-06-07 13:03:00,46338.5,17733.33,16.8,16.8,0.0,5.0,19.0,34.2,228.0,15.14,5.05,Chennai,72,Satisfactory,"NO2, PM10"
2022-09-19,63.0,31.7,25.1,28.2,39.6,31.2,34.9,2022-09-19 00:26:00,2022-09-19 12:39:00,43975.68,36000.0,5.9,5.9,0.0,5.0,8.1,18.4,60.0,19.32,4.06,Kanpur,69,Satisfactory,"PM10, PM2.5"
2018-12-18,51.0,20.0,12.1,15.6,19.5,11.5,15.7,2018-12-18 00:59:00,2018-12-18 11:32:00,37950.3,8725.28,1.0,1.0,0.0,6.0,10.1,20.9,223.0,5.07,1.03,Patna,391,Very Poor,PM2.5
2021-03-26,0.0,32.4,17.5,24.9,31.0,17.0,23.9,2021-03-26 00:45:00,2021-03-26 13:02:00,44244.93,40732.02,0.0,0.0,0.0,0.0,16.9,35.6,312.0,23.22,6.13,Agra,81,Satisfactory,PM2.5
2023-05-28,1.0,36.5,22.4,28.6,37.5,25.7,30.3,2023-05-28 00:27:00,2023-05-28 13:35:00,47290.32,43200.0,0.0,0.0,0.0,0.0,19.4,38.5,284.0,25.02,6.94,Pune,92,Satisfactory,"CO, NO2"
2023-05-03,61.0,26.8,19.7,22.9,29.1,22.2,25.1,2023-05-03 00:28:00,2023-05-03 13:05:00,45405.55,11244.33,2.5,2.5,0.0,3.0,14.6,27.4,281.0,10.46,2.38,Bengaluru,60,Satisfactory,"NO2, PM10"
2023-09-09,65.0,31.3,25.9,28.3,38.6,32.1,34.5,2023-09-08 23:51:00,2023-09-09 12:16:00,44696.45,30670.73,10.6,10.6,0.0,9.0,12.3,34.2,172.0,15.51,3.3,Howrah,40,Good,PM10
2022-07-27,63.0,28.3,18.6,22.3,32.0,20.6,25.0,2022-07-27 00:34:00,2022-07-27 13:18:00,45838.58,39671.44,5.6,5.6,0.0,10.0,13.7,26.3,347.0,21.16,4.22,Bengaluru,73,Satisfactory,"CO, PM10"
2022-10-03,51.0,28.2,20.3,23.6,32.0,23.2,26.5,2022-10-03 00:56:00,2022-10-03 12:51:00,42913.71,37638.03,0.1,0.1,0.0,1.0,12.0,25.2,312.0,20.87,4.17,Nashik,45,Good,O3
2020-05-11,51.0,35.9,22.9,29.4,38.5,24.5,31.2,2020-05-11 00:02:00,2020-05-11 13:32:00,48603.19,37689.72,0.3,0.3,0.0,1.0,17.0,33.1,122.0,21.51,6.05,Delhi,116,Moderate,O3
2019-03-11,53.0,26.5,13.1,20.0,25.3,11.9,18.5,2019-03-11 01:05:00,2019-03-11 12:56:00,42684.22,36729.59,1.7,1.7,0.0,6.0,24.2,54.7,112.0,16.52,4.19,Delhi,187,Moderate,"PM10, PM2.5"
2022-09-04,0.0,37.0,27.2,32.1,39.5,29.8,34.3,2022-09-04 00:30:00,2022-09-04 13:09:00,45525.4,40518.95,0.0,0.0,0.0,0.0,21.0,40.3,260.0,22.2,7.23,Delhi,115,Moderate,"O3, PM10, PM2.5"
2016-12-31,3.0,22.7,10.0,16.4,21.8,9.0,15.8,2016-12-31 01:24:00,2016-12-31 11:53:00,37742.6,33767.28,0.0,0.0,0.0,0.0,14.8,30.2,106.0,13.67,2.51,Lucknow,354,Very Poor,PM2.5
2016-12-22,0.0,27.6,17.6,23.0,29.8,19.0,24.9,2016-12-22 00:53:00,2016-12-22 11:57:00,39850.65,37076.59,0.0,0.0,0.0,0.0,14.3,25.6,184.0,18.15,3.71,Visakhapatnam,119,Moderate,PM2.5
2018-06-10,51.0,36.8,27.2,32.5,43.2,33.2,38.5,2018-06-09 23:41:00,2018-06-10 13:29:00,49655.36,39626.44,0.3,0.3,0.0,2.0,11.2,24.1,315.0,21.59,5.41,Lucknow,155,Moderate,PM2.5
2018-07-02,63.0,31.2,26.9,28.9,37.5,31.4,34.2,2018-07-01 23:25:00,2018-07-02 12:55:00,48567.62,32483.59,13.6,13.6,0.0,12.0,21.0,40.0,205.0,16.82,3.73,Kolkata,56,Satisfactory,PM10
2018-11-29,1.0,29.8,14.3,22.2,28.7,14.4,21.6,2018-11-29 01:19:00,2018-11-29 12:26:00,40016.69,36222.03,0.0,0.0,0.0,0.0,12.6,31.0,100.0,18.43,4.2,Pune,195,Moderate,PM2.5
2023-10-02,63.0,30.0,24.6,26.9,35.6,28.7,32.1,2023-10-01 23:58:00,2023-10-02 11:53:00,42915.28,22960.33,18.3,18.3,0.0,17.0,19.6,38.5,136.0,12.67,2.59,Howrah,40,Good,PM10
2021-08-12,51.0,27.3,21.8,24.0,29.5,24.0,26.3,2021-08-12 00:43:00,2021-08-12 13:35:00,46291.8,40539.95,1.2,1.2,0.0,8.0,20.0,41.4,259.0,17.81,3.65,Nashik,33,Good,PM2.5
2020-06-18,51.0,32.3,26.6,28.9,38.6,31.9,34.6,2020-06-17 23:22:00,2020-06-18 12:53:00,48665.58,26259.06,0.8,0.8,0.0,7.0,20.5,38.5,192.0,17.69,3.88,Kolkata,40,Good,"CO, NO2, PM10"
2018-06-16,53.0,28.1,25.4,26.8,32.3,28.7,30.6,2018-06-16 00:30:00,2018-06-16 13:47:00,47789.72,38574.65,9.3,9.3,0.0,24.0,21.4,47.2,210.0,16.92,3.31,Mumbai,70,Satisfactory,CO
2021-03-12,51.0,33.4,23.9,27.9,38.4,28.7,32.6,2021-03-12 00:18:00,2021-03-12 12:14:00,43006.65,32831.25,0.3,0.3,0.0,1.0,7.6,20.9,154.0,18.55,4.16,Howrah,94,Satisfactory,PM10
2018-10-09,53.0,32.4,23.0,27.7,37.0,25.4,31.8,2018-10-09 00:00:00,2018-10-09 11:46:00,42360.41,38123.24,1.1,1.1,0.0,2.0,15.6,27.0,94.0,19.86,4.57,Kolkata,108,Moderate,PM2.5
2022-03-21,2.0,35.3,21.7,28.2,39.6,21.7,30.3,2022-03-21 00:22:00,2022-03-21 12:30:00,43723.52,37514.65,0.0,0.0,0.0,0.0,13.6,31.0,275.0,19.28,5.21,Patna,225,Poor,PM2.5
2019-01-14,3.0,27.2,20.8,24.2,28.8,22.9,25.3,2019-01-14 01:05:00,2019-01-14 12:30:00,41143.28,36463.76,0.0,0.0,0.0,0.0,17.2,36.7,33.0,19.04,4.34,Chennai,122,Moderate,PM2.5
2018-03-23,0.0,35.0,20.1,27.3,35.8,19.6,27.0,2018-03-23 00:20:00,2018-03-23 12:31:00,43902.12,39600.0,0.0,0.0,0.0,0.0,19.1,35.3,311.0,22.63,6.31,Patna,293,Poor,PM2.5
2020-05-13,2.0,33.3,27.0,30.0,39.4,32.9,35.8,2020-05-13 00:13:00,2020-05-13 12:56:00,45788.17,40384.61,0.0,0.0,0.0,0.0,15.8,37.1,135.0,23.09,5.29,Chennai,50,Good,"CO, O3, PM2.5"
2023-01-26,0.0,29.2,15.1,21.6,27.8,14.9,20.8,2023-01-26 01:19:00,2023-01-26 12:37:00,40732.95,36600.08,0.0,0.0,0.0,0.0,14.8,32.8,122.0,20.59,4.75,Hyderabad,85,Satisfactory,PM10
2016-05-08,63.0,36.3,25.7,30.3,39.9,28.9,32.8,2016-05-08 00:16:00,2016-05-08 13:08:00,46316.14,42499.51,3.0,3.0,0.0,2.0,14.0,36.4,156.0,22.97,6.1,Hyderabad,71,Satisfactory,PM2.5
2021-01-11,0.0,23.6,11.6,17.2,22.6,10.8,16.3,2021-01-11 01:07:00,2021-01-11 11:47:00,38396.25,33509.13,0.0,0.0,0.0,0.0,14.8,29.5,283.0,14.32,2.85,Patna,172,Moderate,"PM10, PM2.5"
2016-03-17,2.0,31.5,21.1,26.3,35.1,24.1,28.6,2016-03-17 00:55:00,2016-03-17 13:00:00,43491.79,40478.16,0.0,0.0,0.0,0.0,11.0,25.6,139.0,21.52,4.92,Bengaluru,148,Moderate,"PM10, PM2.5"
2020-05-01,61.0,33.4,21.8,26.7,36.9,24.0,28.8,2020-04-30 23:57:00,2020-05-01 13:08:00,47484.43,40142.39,2.1,2.1,0.0,2.0,23.4,51.5,88.0,22.17,5.49,Lucknow,88,Satisfactory,PM2.5
2023-10-07,0.0,33.7,23.0,28.3,37.5,26.0,31.7,2023-10-07 00:33:00,2023-10-07 12:19:00,42331.22,39421.58,0.0,0.0,0.0,0.0,10.1,19.4,238.0,19.84,4.58,Kanpur,155,Moderate,PM2.5
2016-12-29,1.0,23.0,9.6,16.1,22.4,8.0,15.4,2016-12-29 01:43:00,2016-12-29 12:03:00,37238.7,34159.72,0.0,0.0,0.0,0.0,10.5,24.1,119.0,13.76,2.47,Delhi,402,Severe,"PM10, PM2.5"
2020-02-09,0.0,21.6,9.3,15.4,20.3,7.3,13.9,2020-02-09 00:59:00,2020-02-09 12:08:00,40176.5,37176.91,0.0,0.0,0.0,0.0,12.4,24.8,280.0,17.6,3.32,Patna,192,Moderate,"PM10, PM2.5"
2019-09-06,61.0,35.2,26.6,29.7,37.6,29.8,33.4,2019-09-06 00:27:00,2019-09-06 12:47:00,44336.73,33344.84,2.5,2.5,0.0,5.0,25.6,51.1,213.0,18.61,5.16,Chennai,58,Satisfactory,"CO, OZONE, PM2.5"
2021-11-27,61.0,21.5,18.4,19.9,22.0,17.4,20.5,2021-11-27 00:54:00,2021-11-27 12:20:00,41181.95,376.79,5.2,5.2,0.0,14.0,22.2,40.0,44.0,7.23,1.57,Bengaluru,82,Satisfactory,"PM10, PM2.5"
