city_name,datetime,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
Lucknow,2014-08-25,1.0,36.0,26.0,30.8,41.1,30.3,35.4,2014-08-25 00:12:00,2014-08-25 13:04:00,46283.32,41816.98,0.0,0.0,0.0,0.0,16.5,29.9,264.0,23.5,5.9
Mumbai,2011-01-30,0.0,30.2,18.9,24.1,30.4,18.1,23.8,2011-01-30 01:43:00,2011-01-30 13:00:00,40608.34,37911.28,0.0,0.0,0.0,0.0,15.3,27.0,351.0,20.44,5.29
Jabalpur,1992-08-18,61.0,26.7,23.0,24.7,30.9,26.2,28.3,1992-08-18 00:17:00,1992-08-18 13:10:00,46353.23,3465.86,6.5,6.5,0.0,13.0,17.4,32.4,250.0,5.65,1.39
Pimpri-Chinchwad,1990-03-31,0.0,35.0,18.0,26.3,34.8,17.2,25.7,1990-03-31 01:00:00,1990-03-31 13:18:00,44297.29,41740.07,0.0,0.0,0.0,0.0,19.5,38.2,288.0,26.74,6.98
Dhanbād,2019-05-05,1.0,36.1,22.4,28.8,39.7,22.9,31.6,2019-05-04 23:38:00,2019-05-05 12:44:00,47201.68,41805.68,0.0,0.0,0.0,0.0,11.8,33.1,243.0,22.13,5.65
Alīgarh,2003-11-12,0.0,26.0,13.4,19.8,26.4,12.5,19.6,2003-11-12 01:06:00,2003-11-12 11:57:00,39026.8,36137.75,0.0,0.0,0.0,0.0,7.7,14.8,23.0,16.75,3.13
Hyderābād,1988-12-21,0.0,27.0,15.9,20.7,27.5,15.8,20.7,1988-12-21 01:11:00,1988-12-21 12:17:00,39929.61,37003.17,0.0,0.0,0.0,0.0,9.4,22.3,95.0,19.13,4.0
Bangalore,1997-06-17,3.0,30.2,19.6,24.5,31.8,21.1,25.5,1997-06-17 00:24:00,1997-06-17 13:17:00,46392.9,42893.13,0.0,0.0,0.0,0.0,18.0,42.8,256.0,22.61,5.3
Gwalior,2002-02-07,1.0,26.6,12.0,18.5,26.8,10.5,17.6,2002-02-07 01:28:00,2002-02-07 12:34:00,39962.64,36025.07,0.0,0.0,0.0,0.0,9.8,18.7,320.0,17.93,3.8
Najafgarh,1993-11-17,1.0,28.8,16.7,22.7,27.9,16.5,22.5,1993-11-17 01:16:00,1993-11-17 11:57:00,38489.45,34902.52,0.0,0.0,0.0,0.0,15.8,32.8,290.0,15.03,3.71
Jaipur,2006-11-13,1.0,29.6,16.8,23.1,28.9,16.8,22.6,2006-11-13 01:14:00,2006-11-13 12:07:00,39125.9,35593.91,0.0,0.0,0.0,0.0,8.0,20.9,53.0,15.14,3.61
Indore,2005-08-06,51.0,27.3,22.6,24.5,28.5,24.4,26.3,2005-08-06 00:29:00,2005-08-06 13:35:00,47102.5,18401.9,0.3,0.3,0.0,2.0,24.9,48.2,254.0,12.09,2.92
Vasai-Virar,2011-10-20,3.0,31.6,24.1,27.8,38.3,29.6,33.8,2011-10-20 01:04:00,2011-10-20 12:42:00,41869.7,37327.12,0.0,0.0,0.0,0.0,8.9,20.9,324.0,20.94,4.39
Vishākhapatnam,2002-08-15,53.0,31.2,26.6,28.4,34.5,29.4,31.3,2002-08-15 00:09:00,2002-08-15 12:53:00,45824.61,22413.28,1.9,1.9,0.0,6.0,21.5,45.7,233.0,13.34,4.05
Hyderābād,1987-08-02,1.0,32.9,25.3,28.9,34.3,26.5,30.2,1987-08-02 00:25:00,1987-08-02 13:19:00,46408.37,40165.76,0.0,0.0,0.0,0.0,19.8,40.0,262.0,21.47,6.26
Guwāhāti,1982-04-09,0.0,33.2,19.9,27.0,34.7,22.7,28.8,1982-04-08 23:36:00,1982-04-09 12:13:00,45444.08,42648.66,0.0,0.0,0.0,0.0,13.4,28.8,25.0,24.33,5.89
Najafgarh,2000-07-23,53.0,28.8,24.3,26.3,31.8,28.2,30.0,2000-07-23 00:08:00,2000-07-23 13:48:00,49169.93,17535.19,1.8,1.8,0.0,5.0,16.2,32.8,229.0,10.51,2.68
Kalyān,2024-03-21,1.0,40.7,21.1,30.5,40.8,18.8,28.8,2024-03-21 01:10:00,2024-03-21 13:18:00,43713.11,40114.07,0.0,0.0,0.0,0.0,19.1,38.9,25.0,24.45,6.84
Mumbai,1987-07-02,65.0,27.3,25.8,26.5,31.9,30.2,31.2,1987-07-02 00:34:00,1987-07-02 13:50:00,47730.04,255.24,92.7,92.7,0.0,24.0,19.3,37.8,229.0,5.15,1.32
Bangalore,2022-02-13,3.0,28.4,15.9,21.7,28.9,16.3,21.3,2022-02-13 01:12:00,2022-02-13 12:54:00,42126.57,38029.89,0.0,0.0,0.0,0.0,13.7,29.9,82.0,22.89,5.23
Ludhiāna,1982-12-22,51.0,19.7,7.6,13.1,17.0,5.3,10.7,1982-12-22 01:50:00,1982-12-22 11:59:00,36508.34,33002.53,0.2,0.2,0.0,1.0,12.1,27.7,310.0,10.17,2.19
Rājkot,1997-02-27,0.0,35.8,18.1,27.0,35.9,19.2,26.9,1997-02-27 01:39:00,1997-02-27 13:19:00,42002.92,39353.92,0.0,0.0,0.0,0.0,9.7,22.0,340.0,22.48,5.65
Ghāziābād,1983-09-06,55.0,31.2,24.9,27.1,38.3,30.5,33.2,1983-09-06 00:30:00,1983-09-06 13:07:00,45389.0,22959.68,3.1,3.1,0.0,8.0,8.8,21.2,163.0,12.57,2.7
