date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-09-08,Hyderabad,6,Satisfactory,82,"O3, PM10"
2022-05-26,Chennai,7,Satisfactory,67,"PM10, PM2.5"
2023-05-25,Hyderabad,8,Satisfactory,80,PM10
2021-11-18,Mumbai,18,Satisfactory,81,"CO, PM10, PM2.5"
2023-07-31,Satna,1,Satisfactory,91,PM10
2020-05-04,Kota,1,Satisfactory,55,O3
2018-06-30,Alwar,1,Satisfactory,66,PM10
2023-02-15,Bhopal,2,Satisfactory,100,PM10
2023-05-28,Bikaner,1,Moderate,144,PM10
2020-04-30,Chandigarh,1,Satisfactory,58,PM10
2022-10-31,Siwan,1,Poor,221,PM2.5
2019-05-09,Damoh,1,Satisfactory,72,PM2.5
2021-11-03,Thoothukudi,1,Good,39,CO
2018-12-18,Solapur,1,Satisfactory,78,PM10
2021-06-06,Chamarajanagar,1,Satisfactory,56,O3
2017-12-09,Noida,2,Very Poor,326,PM2.5
2019-02-01,Jorapokhar,1,Moderate,195,PM10
2022-09-25,Greater Noida,2,Good,50,"CO, O3"
2019-02-17,Udaipur,1,Moderate,169,PM2.5
2016-01-10,Jaipur,1,Very Poor,328,PM2.5
2022-02-04,Gummidipoondi,1,Good,40,PM10
2020-05-02,Kannur,1,Good,43,PM2.5
2018-06-04,Solapur,1,Satisfactory,72,OZONE
2020-06-30,Patiala,1,Satisfactory,66,PM10
2020-09-19,Guwahati,1,Satisfactory,67,PM10
2019-08-03,Visakhapatnam,1,Good,47,CO
2022-12-17,Bagalkot,1,Good,42,PM10
2023-11-29,Tirupati,2,Good,49,"CO, NO2"
2023-01-27,Bathinda,1,Moderate,103,PM10
2023-09-26,Gurugram,3,Poor,221,PM2.5
2018-06-25,Talcher,1,Moderate,119,PM10
2019-08-23,Agra,1,Satisfactory,88,PM2.5
2017-09-02,Lucknow,3,Good,42,"CO, PM2.5"
2019-08-28,Kalyan,1,Satisfactory,58,PM10
2023-03-04,Hubballi,2,Moderate,160,PM10
2021-05-15,Hisar,1,Moderate,135,PM10
2021-01-12,Gwalior,1,Moderate,156,PM2.5
2019-08-12,Udaipur,1,Satisfactory,72,PM10
2023-08-26,Hanumangarh,1,Moderate,148,PM10
2023-12-16,Mahad,1,Moderate,105,PM10
2022-12-14,Pali,1,Moderate,105,PM10
2023-10-02,Siliguri,1,Good,36,O3
2023-08-21,Shivamogga,1,Satisfactory,52,PM10
2021-03-09,Gummidipoondi,1,Moderate,116,PM10
2019-06-30,Dharuhera,1,Poor,244,PM10
2022-07-14,GandhiNagar,1,Good,39,PM10
2019-07-23,Ballabgarh,1,Moderate,108,CO
2020-01-23,Patiala,1,Satisfactory,59,PM10
2019-11-26,Bathinda,1,Moderate,158,PM10
2022-08-11,Solapur,1,Satisfactory,74,PM10
2021-12-29,Kalaburagi,1,Satisfactory,98,PM2.5
2020-11-05,Ajmer,1,Satisfactory,94,PM10
2021-03-28,Indore,1,Poor,235,PM10
2023-07-18,Bathinda,1,Good,38,PM10
2020-08-20,Bhopal,1,Good,34,PM10
2023-09-28,Mysuru,1,Good,41,PM10
2022-08-18,Ujjain,1,Satisfactory,61,PM10
2018-08-28,Bulandshahr,1,Satisfactory,73,OZONE
2023-04-20,Nalbari,1,Satisfactory,76,O3
2018-03-16,Pune,1,Satisfactory,94,PM10
2020-08-26,Shillong,1,Good,12,PM10
2022-01-14,Satna,1,Satisfactory,52,PM10
2020-10-05,Khanna,1,Moderate,123,PM10
2020-06-09,Muzaffarpur,1,Satisfactory,68,O3
2022-11-01,Thoothukudi,1,Satisfactory,79,PM10
2023-08-13,Hubballi,1,Moderate,101,PM10
2020-11-22,Eloor,1,Satisfactory,54,O3
2019-05-19,Ghaziabad,3,Poor,217,"OZONE, PM2.5"
2022-08-14,Bareilly,2,Satisfactory,59,"PM10, PM2.5"
2022-12-09,Hosur,1,Moderate,124,PM2.5
2022-11-15,Patna,6,Very Poor,340,"PM10, PM2.5"
2023-05-14,Indore,2,Satisfactory,70,PM10
2023-04-04,Chhal,1,Moderate,105,PM10
2022-06-03,Kohima,1,Satisfactory,53,SO2
2019-01-14,Nashik,1,Moderate,177,OZONE
2020-11-02,Jodhpur,1,Poor,231,PM2.5
2022-05-07,Naharlagun,1,Satisfactory,65,SO2
2023-07-05,Solapur,3,Satisfactory,70,PM10
2023-12-02,Rajsamand,1,Moderate,147,PM2.5
2020-08-31,Panipat,1,Good,44,PM10
2023-05-24,Jaipur,5,Moderate,120,PM10
2021-10-10,Thiruvananthapuram,2,Good,30,"CO, O3"
2023-08-17,Tumakuru,1,Satisfactory,99,CO
2022-05-30,Chandrapur,2,Moderate,128,PM10
2020-05-01,Kurukshetra,1,Moderate,116,PM10
2023-07-21,Jhansi,1,Satisfactory,69,PM2.5
2021-07-10,Kollam,1,Good,50,CO
2023-07-07,Chandigarh,3,Satisfactory,57,PM10
2022-09-14,Kannur,1,Satisfactory,53,PM2.5
2022-10-18,Dharuhera,1,Poor,250,PM2.5
2022-01-28,Lucknow,6,Moderate,150,"PM10, PM2.5"
2023-12-18,Hisar,1,Poor,228,O3
2020-02-20,Bahadurgarh,1,Moderate,144,PM2.5
2023-01-08,Madikeri,1,Good,40,O3
2018-12-09,Kota,1,Moderate,137,PM10
2021-11-14,Hapur,1,Very Poor,359,PM2.5
2022-10-26,Gorakhpur,1,Poor,250,PM2.5
2020-12-30,Hapur,1,Moderate,123,PM10
2020-10-17,Hapur,1,Poor,215,PM10
2020-10-19,Kannur,1,Good,49,CO
2022-11-28,Lucknow,6,Poor,236,PM2.5
2022-01-04,Delhi,37,Very Poor,378,PM2.5
